NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    6    20    0.32    0.62   -9.45  120.36    2.72  -10.33  124.81
    6    20    0.32    2.72  -10.33  124.81    5.24  -10.74  129.11
    6    21    0.32    5.24  -10.74  129.11    7.80  -10.84  133.40
    6    21    0.32    7.80  -10.84  133.40   10.72  -10.37  137.43
    6    22    0.32   10.72  -10.37  137.43   13.46   -9.37  141.49
    6    22    0.32   13.46   -9.37  141.49   16.77   -8.59  145.16
    6    22    0.32   16.77   -8.59  145.16   19.63   -7.30  149.06
    6    23    0.32   19.63   -7.30  149.06   22.02   -6.34  153.34
    6    23    0.32   22.02   -6.34  153.34   24.03   -5.57  157.86
    6    24    0.32   24.03   -5.57  157.86   25.80   -5.29  162.52
    6    24    0.32   25.80   -5.29  162.52   27.25   -4.39  167.22
    6    25    0.32   27.25   -4.39  167.22   28.57   -3.89  172.02
    6    25    0.32   28.57   -3.89  172.02   29.82   -4.00  176.86
    6    26    0.32   29.82   -4.00  176.86   31.27   -3.54  181.62
    6    26    0.32   31.27   -3.54  181.62   32.76   -2.64  186.31
    6    26    0.32   32.76   -2.64  186.31   34.64   -2.28  190.93
    6    27    0.32   34.64   -2.28  190.93   36.54   -1.32  195.45
    6    27    0.32   36.54   -1.32  195.45   38.04   -0.66  200.18
    6    28    0.32   38.04   -0.66  200.18   39.19   -0.63  205.04
    6    28    0.32   39.19   -0.63  205.04   39.89   -1.12  209.97
    6    29    0.32   39.89   -1.12  209.97   40.22   -2.21  214.84
    6    29    0.32   40.22   -2.21  214.84   40.95   -3.65  219.57
    6    30    0.32   40.95   -3.65  219.57   40.99   -5.05  224.37
    6    30    0.32   40.99   -5.05  224.37   40.56   -6.08  229.24
    6    30    0.32   40.56   -6.08  229.24   39.91   -6.52  234.18
    7    15    0.57  -26.58    7.18   83.24  -26.37   12.07   84.26
    7    15    0.57  -26.37   12.07   84.26  -26.26   16.89   85.59
    7    15    0.57  -26.26   16.89   85.59  -26.72   21.76   86.59
    7    16    0.57  -26.72   21.76   86.59  -26.65   26.73   87.15
    7    16    0.57  -26.65   26.73   87.15  -26.05   31.69   87.28
    7    16    0.57  -26.05   31.69   87.28  -25.91   36.67   87.77
    7    17    0.57  -25.91   36.67   87.77  -26.41   41.60   88.44
    7    17    0.57  -26.41   41.60   88.44  -26.83   46.47   89.46
    7    17    0.57  -26.83   46.47   89.46  -26.95   51.45   89.94
    7    18    0.57  -26.95   51.45   89.94  -26.95   56.34   90.99
    7    18    0.52  -26.95   56.34   90.99  -27.42   61.10   92.44
    7    18    0.52  -27.42   61.10   92.44  -27.78   65.96   93.57
    7    19    0.44  -27.78   65.96   93.57  -28.51   70.75   94.81
    7    19    0.44  -28.51   70.75   94.81  -28.64   75.64   95.81
    7    19    0.44  -28.64   75.64   95.81  -29.07   80.60   96.29
    7    20    0.44  -29.07   80.60   96.29  -30.16   85.47   96.70
    7    20    0.44  -30.16   85.47   96.70  -31.28   90.34   96.74
    7    20    0.44  -31.28   90.34   96.74  -31.96   95.27   96.32
    7    21    0.44  -31.96   95.27   96.32  -33.11  100.14   96.19
    7    21    0.44  -33.11  100.14   96.19  -33.97  105.06   96.29
    7    21    0.44  -33.97  105.06   96.29  -34.61  110.00   95.79
    7    22    0.44  -34.61  110.00   95.79  -35.38  114.80   94.64
    7    22    0.44  -35.38  114.80   94.64  -36.40  119.55   93.46
    7    22    0.44  -36.40  119.55   93.46  -37.74  124.32   92.75
    7    23    0.44  -37.74  124.32   92.75  -38.53  129.24   92.45
    7    23    0.44  -38.53  129.24   92.45  -38.83  134.20   91.84
    7    23    0.44  -38.83  134.20   91.84  -39.58  139.05   90.88
    7    23    0.44  -39.58  139.05   90.88  -40.47  143.95   90.47
    7    24    0.44  -40.47  143.95   90.47  -41.76  148.78   90.48
    7    24    0.44  -41.76  148.78   90.48  -43.44  153.46   91.01
    7    24    0.44  -43.44  153.46   91.01  -45.17  158.15   91.14
    7    25    0.44  -45.17  158.15   91.14  -46.68  162.89   90.62
    7    25    0.44  -46.68  162.89   90.62  -48.88  167.35   90.13
    7    25    0.44  -48.88  167.35   90.13  -50.68  171.90   89.10
    7    26    0.44  -50.68  171.90   89.10  -52.48  176.39   87.83
    7    26    0.44  -52.48  176.39   87.83  -53.91  180.96   86.38
    7    26    0.44  -53.91  180.96   86.38  -55.80  185.28   84.73
    7    27    0.44  -55.80  185.28   84.73  -58.35  189.30   83.20
    7    27    0.44  -58.35  189.30   83.20  -61.36  193.16   82.17
    7    27    0.44  -61.36  193.16   82.17  -64.48  196.86   80.90
